"Title","Household final consumption expenditure: Domestic concept CP NSA  Â£m"
"CDID","ABQI"
"Source dataset ID","CT"
"PreUnit",""
"Unit",""
"Release date","31-03-2021"
"Next release","30 June 2021"
"Important notes",
"1985","250918"
"1986","275616"
"1987","302209"
"1988","339228"
"1989","371000"
"1990","403449"
"1991","431429"
"1992","452686"
"1993","480293"
"1994","503057"
"1995","530454"
"1996","568652"
"1997","607774"
"1998","640298"
"1999","669180"
"2000","702811"
"2001","726314"
"2002","750727"
"2003","783749"
"2004","821768"
"2005","860274"
"2006","897724"
"2007","940378"
"2008","966825"
"2009","943437"
"2010","973124"
"2011","1012139"
"2012","1050074"
"2013","1102319"
"2014","1146617"
"2015","1178554"
"2016","1233355"
"2017","1272638"
"2018","1318800"
"2019","1350697"
"2020","1225209"
"1985 Q1","58504"
"1985 Q2","60596"
"1985 Q3","64035"
"1985 Q4","67783"
"1986 Q1","64780"
"1986 Q2","67056"
"1986 Q3","69920"
"1986 Q4","73860"
"1987 Q1","69931"
"1987 Q2","72744"
"1987 Q3","77464"
"1987 Q4","82070"
"1988 Q1","78494"
"1988 Q2","81703"
"1988 Q3","87235"
"1988 Q4","91796"
"1989 Q1","86381"
"1989 Q2","90132"
"1989 Q3","94749"
"1989 Q4","99738"
"1990 Q1","93572"
"1990 Q2","98278"
"1990 Q3","103621"
"1990 Q4","107978"
"1991 Q1","101336"
"1991 Q2","105120"
"1991 Q3","110304"
"1991 Q4","114669"
"1992 Q1","106945"
"1992 Q2","110390"
"1992 Q3","115719"
"1992 Q4","119632"
"1993 Q1","113319"
"1993 Q2","115947"
"1993 Q3","123435"
"1993 Q4","127592"
"1994 Q1","119607"
"1994 Q2","122203"
"1994 Q3","128644"
"1994 Q4","132603"
"1995 Q1","125019"
"1995 Q2","128556"
"1995 Q3","136252"
"1995 Q4","140627"
"1996 Q1","133490"
"1996 Q2","138413"
"1996 Q3","145848"
"1996 Q4","150901"
"1997 Q1","144419"
"1997 Q2","148607"
"1997 Q3","155560"
"1997 Q4","159188"
"1998 Q1","152286"
"1998 Q2","156839"
"1998 Q3","163977"
"1998 Q4","167196"
"1999 Q1","160748"
"1999 Q2","164897"
"1999 Q3","168809"
"1999 Q4","174726"
"2000 Q1","169713"
"2000 Q2","172739"
"2000 Q3","177471"
"2000 Q4","182888"
"2001 Q1","174831"
"2001 Q2","178508"
"2001 Q3","183971"
"2001 Q4","189004"
"2002 Q1","179863"
"2002 Q2","184848"
"2002 Q3","189007"
"2002 Q4","197009"
"2003 Q1","186034"
"2003 Q2","192841"
"2003 Q3","198628"
"2003 Q4","206246"
"2004 Q1","195112"
"2004 Q2","202357"
"2004 Q3","207397"
"2004 Q4","216902"
"2005 Q1","205260"
"2005 Q2","211651"
"2005 Q3","216650"
"2005 Q4","226713"
"2006 Q1","212701"
"2006 Q2","221131"
"2006 Q3","227831"
"2006 Q4","236061"
"2007 Q1","223084"
"2007 Q2","231289"
"2007 Q3","237904"
"2007 Q4","248101"
"2008 Q1","235719"
"2008 Q2","240365"
"2008 Q3","242867"
"2008 Q4","247874"
"2009 Q1","230345"
"2009 Q2","231143"
"2009 Q3","236274"
"2009 Q4","245675"
"2010 Q1","231300"
"2010 Q2","240624"
"2010 Q3","245631"
"2010 Q4","255569"
"2011 Q1","243760"
"2011 Q2","248205"
"2011 Q3","253680"
"2011 Q4","266494"
"2012 Q1","252109"
"2012 Q2","257892"
"2012 Q3","263587"
"2012 Q4","276486"
"2013 Q1","265075"
"2013 Q2","269203"
"2013 Q3","278730"
"2013 Q4","289311"
"2014 Q1","274663"
"2014 Q2","282023"
"2014 Q3","289812"
"2014 Q4","300119"
"2015 Q1","281764"
"2015 Q2","289158"
"2015 Q3","297353"
"2015 Q4","310279"
"2016 Q1","294294"
"2016 Q2","301789"
"2016 Q3","311947"
"2016 Q4","325325"
"2017 Q1","306303"
"2017 Q2","313116"
"2017 Q3","319639"
"2017 Q4","333580"
"2018 Q1","316586"
"2018 Q2","325043"
"2018 Q3","332069"
"2018 Q4","345102"
"2019 Q1","323373"
"2019 Q2","332766"
"2019 Q3","341166"
"2019 Q4","353392"
"2020 Q1","321939"
"2020 Q2","258037"
"2020 Q3","316907"
"2020 Q4","328326"
